epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
0,91.78843610253826,97.31040564373896,88.4358434677124,inf,False,,,0.0002703666687011,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
1,97.75933740631102,95.17510707986898,61.90106344223023,inf,False,,,0.0001056194305419,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
2,98.89620205328464,95.43965734441925,61.82850122451782,inf,False,,,0.000112771987915,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
3,99.35126283302893,94.04761904761904,61.906111001968384,95.49319604687224,False,[9.64931960e+01 1.00000000e+00 2.74205583e-05],[95.49319605 95.49319605 95.49319605 95.49319605],0.0054874420166015,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
4,99.57013289664296,99.46460065507684,61.91052675247192,inf,False,"[inf, inf, inf]",inf,0.0873315334320068,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
5,99.75751086477294,99.77324263038548,61.87848138809204,inf,False,"[inf, inf, inf]",inf,0.1009752750396728,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
6,99.78427914593438,98.92920131015369,61.84736752510071,inf,False,"[inf, inf, inf]",inf,0.0878252983093261,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
7,99.65201234490144,98.7339380196523,61.92044448852539,inf,False,"[inf, inf, inf]",inf,0.1174027919769287,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
8,99.92126976128992,99.9748047367095,61.9582405090332,inf,False,"[inf, inf, inf]",inf,0.10551118850708,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
9,99.96220948541917,99.92441421012848,62.02649593353272,inf,False,"[inf, inf, inf]",inf,0.0848119258880615,"[[1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1]]","[[[1], [0, 1], [0, 0, 1], [0]], [[0], [0, 0], [0, 0, 0], [1]], [[1], [0, 1], [0, 0, 1], [1]]]",677.3055,75
