epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
0,80.80084398815897,59.889140841521794,inf,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
1,88.29438810858474,52.15419501133787,inf,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
2,90.94917175788876,83.90022675736961,inf,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
3,92.90640549222144,61.09851347946586,71.54313106499824,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
4,94.38338477042262,70.51524313429076,71.91333108325458,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
5,95.35019210178244,93.24766943814564,150.77220974437674,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
6,95.94854191597908,92.76266061980348,154.59455033545223,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
7,96.66026327391825,94.65860418241373,154.17048560824333,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
8,97.11689865843674,76.88334593096498,97.66158499481008,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
9,97.57038483340682,94.62081128747796,102.1746314881872,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
10,98.25061409586192,95.90576971529352,104.40260485840528,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
11,98.70567487560622,87.59133282942807,97.2439009351286,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
12,98.93241796309128,95.45855379188713,98.01716472899956,False,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
13,99.38590413806136,94.22398589065256,97.5784688120416,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
14,99.68980285948228,95.79239103048629,97.71141463469526,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
15,99.86143477987024,97.39858906525572,98.19429210529812,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
16,99.93544120425771,96.96397077349458,98.27064499497992,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
17,99.98740316180638,97.05845301083396,98.26176653833316,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
18,99.992126976129,97.54346182917612,98.30597516710236,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
19,100.0,97.43638196019148,98.27122929033452,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
20,99.9984253952258,97.53716301335348,98.2317721364408,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
21,100.0,97.4678760393046,98.16811107108744,True,"[[0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0]]",68,715.4103
