epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
0,83.6477294199156,61.19929453262787,200.7898190021515,inf,False,,,0.0001068115234375,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
1,90.95861938653398,50.42831947593852,51.06031203269959,inf,False,,,0.0001170635223388,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
2,92.848145115576,77.32426303854875,50.88164377212525,inf,False,,,0.000180959701538,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
3,93.48743465390189,90.28722600151173,51.055540800094604,182.1778811058675,False,[199.99999998   1.08810504  59.11320681],[52.86029289 64.77435389 75.7237205  85.78650508],0.0415120124816894,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
4,94.12672419222775,90.91080876795162,50.878490924835205,179.1706610935862,False,[200.           1.08110814  63.93442647],[53.64621748 64.62613991 74.78231393 84.17653973 92.86598109],0.0481462478637695,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
5,94.25269257416387,80.90199042579995,50.8995349407196,99.3663742399262,False,[99.39445365  1.34305123 12.88679214],[54.65378683 66.08175067 74.59070667 80.92624755 85.64352171 89.15587778],0.0120925903320312,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
6,94.57863576242364,89.83371126228269,50.91029763221741,96.96356576148976,False,[96.97749457  1.37820498 11.67694292],"[54.6366547  66.25576562 74.68637724 80.80347283 85.24192405 88.46238203
 90.79908668]",0.0108604431152343,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
7,94.71247716823078,93.60040312421263,50.87894248962402,97.99658962022872,False,[98.01632035  1.36040891 12.24572674],"[54.67723161 66.15892188 74.59880358 80.80273361 85.36307572 88.71526054
 91.17936145 92.99065575]",0.0096967220306396,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
8,95.14391887636204,92.75006298815822,50.88909220695496,96.8588624410824,False,[96.87182316  1.38209828 11.57047522],"[54.59501766 66.28296698 74.73963717 80.85835558 85.28547809 88.48866746
 90.80629524 92.48318596 93.69647936]",0.0106387138366699,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
9,95.52339862694464,92.66187956664147,50.92962670326233,95.86089997879436,False,[95.86934073  1.40480207 10.95253209],"[54.49228946 66.41533281 74.90268032 80.94434818 85.24507352 88.30651929
 90.48579125 92.03709304 93.141378   93.92745668]",0.0096786022186279,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
10,95.6698368709454,95.30108339632147,50.96107578277588,96.19577355047112,False,[96.20565755  1.39635028 11.17141404],"[54.53865922 66.36572491 74.83570973 80.90151208 85.24555271 88.35654906
 90.58449745 92.18004866 93.32270695 94.14102474 94.72706522]",0.0110719203948974,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
11,95.81784971972036,93.65709246661628,51.12537026405335,95.69717432781871,True,[95.70486799  1.40984839 10.8293708 ],"[54.45302374 66.44509471 74.95102417 80.98424699 85.26358855 88.29890894
 90.45184993 91.97892263 93.06206939 93.83034118 94.37527339 94.76179169]",0.0090909004211425,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [0, 0, 0], [1]]]",470.655,27
0,72.55936259998741,61.306374401612494,382.7300837039948,inf,False,,,0.0001733303070068,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
1,85.47584556276375,86.54572940287225,29.63701057434082,inf,False,,,0.0001223087310791,"[[0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1]]","[[[0], [1, 0], [0, 0, 0], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [0, 0], [0, 0, 0], [1]]]",187.125,50
