epoch,train_accs,val_accs,predictions,converged,genome,arch,flops
0,86.42533224160735,44.45074326026707,inf,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
1,93.31422812873969,67.37213403880071,inf,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
2,94.98803300371608,82.06727135298564,inf,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
3,95.79737985765571,93.66339128243892,118.36933812706306,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
4,96.56578698746614,89.58175862937767,96.70215768703814,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
5,96.92794608553253,76.73847316704459,86.98203388452791,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
6,97.22239717830824,84.07659360040313,86.15829701306684,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
7,97.67115953895572,97.26001511715798,88.89501398879946,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
8,97.88215657869874,93.80826404635928,90.01648419808006,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
9,98.37185866347546,95.36407155454776,91.11259527480928,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
10,98.34823959186244,97.90249433106575,92.41051154462924,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
11,98.6867796183158,97.0710506424792,93.25379643845405,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
12,98.94029098696228,95.59712773998488,93.6424229922694,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
13,99.09145304528565,98.28672209624592,94.34817276620878,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
14,99.27095798954464,98.87881078357267,94.99981609250976,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
15,99.29930087548026,98.57016880826404,95.48419596891613,False,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
16,99.48195502928763,98.87881078357267,95.91565711951336,True,"[[1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 1]]",20,722.0186
0,88.79983624110348,55.79491055681532,inf,False,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
1,93.91730175725893,80.42957923910305,inf,False,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
2,95.33759526358884,94.8538674729151,inf,False,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
3,95.99735466397934,90.96119929453263,94.71862452889098,False,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
4,96.56263777791774,94.00982615268327,94.53579419955112,False,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
5,96.8996031995969,94.05391786344168,94.39113177727204,True,"[[0, 1, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0]]",57,695.5923
0,91.58058827234365,87.05593348450492,inf,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
1,96.75001574604774,69.21138825900731,inf,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
2,98.14669018076462,95.66641471403376,inf,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
3,98.63009384644454,98.29302091206851,166.58102720465848,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
4,98.99382754928511,95.1310153691106,156.37995838548972,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
5,99.12766895509228,99.13706223230032,146.53635883452003,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
6,99.38590413806136,99.43940539178634,115.0042212789098,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
7,99.36385967122251,98.78432854623333,106.20111085872765,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
8,99.6189456446432,99.64726631393296,103.90560621634344,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
9,99.74333942180512,99.1307634164777,102.35215042285648,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
10,99.7275933740631,99.66616276140086,101.70194947296238,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
11,99.8141966366442,98.55127236079618,100.94029512028102,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
12,99.86143477987024,96.78130511463844,100.08312157276428,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
13,99.94016501858032,99.8236331569665,100.06564743826236,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
14,99.94961264722556,99.87402368354748,100.05163793609724,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
15,99.97480632361275,99.90551776266062,100.0414157707804,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
16,99.9905523713548,99.87402368354748,100.02708847545046,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
17,99.9937015809032,99.8047367094986,100.00589074070209,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
18,99.98582855703218,99.91181657848324,99.99826222604254,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
19,99.9968507904516,99.92441421012848,99.99301138723588,False,"[[0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 1, 1, 0, 0]]",18,967.0607
