gpu,dataset,stopping,time,total_time,total_seconds
1,14,False,2-02_01_42,2 days 02:01:42,180102.0
1,15,False,2-03_52_23,2 days 03:52:23,186743.0
1,16,False,2-00_38_20,2 days 00:38:20,175100.0
1,14,True,1-22_33_04,1 days 22:33:04,167584.0
1,15,True,1-12_05_38,1 days 12:05:38,129938.0
1,16,True,1-08_18_16,1 days 08:18:16,116296.0
4,14,False,0-14_32_18,0 days 14:32:18,52338.0
4,15,False,0-14_54_32,0 days 14:54:32,53672.0
4,16,False,0-13_53_12,0 days 13:53:12,49992.0
4,14,True,0-12_03_46,0 days 12:03:46,43426.0
4,15,True,0-09_10_05,0 days 09:10:05,33005.0
4,16,True,0-09_27_38,0 days 09:27:38,34058.0
